id;appointment_date;start_time;end_time;reason;status;phone;location;appointment_type
1;2025-05-03T23:17:51;2025-05-04T00:28:50;2025-05-04T08:41:39;offset;chase;971.338.7186 x387;rubbery lost eek;lazy appertain
2;2025-05-04T03:37:24;2025-05-04T05:39:37;2025-05-04T11:17:46;aha;apropos lest;1-964-399-3992 x2650;as after though;desk unkempt a
3;2025-05-04T04:38:41;2025-05-03T17:36:09;2025-05-04T06:31:20;after nightlife;accidentally rule;992-929-0382 x11594;cornet almost miserably;concerning tune-up duh
4;2025-05-03T13:53:17;2025-05-03T22:35:58;2025-05-03T13:23:25;circa stunning before;how as er;(655) 908-6991 x49741;fax tectonics plain;considering scented
5;2025-05-03T17:23:35;2025-05-03T21:59:49;2025-05-04T02:39:56;likely;while grouchy;(226) 696-8035 x38221;under ouch lobotomise;blah gee
6;2025-05-04T08:27:47;2025-05-04T01:16:50;2025-05-03T16:56:36;hm till pertinent;on;1-593-685-6707 x537;pepper and;advertisement swanling only
7;2025-05-04T05:54:45;2025-05-04T04:33:42;2025-05-04T11:16:57;truthfully;maestro;249.842.7145 x15274;whoever kookily dividend;ghost following disarm
8;2025-05-04T00:29:51;2025-05-04T00:13:42;2025-05-03T13:52:51;exaggerate joshingly gosh;since;655.907.4378 x67232;finally yowza juggernaut;hmph
9;2025-05-04T01:23:10;2025-05-03T19:55:52;2025-05-03T17:29:38;energetic whoever opera;retention kinase;1-462-342-6774 x0930;abaft;with opera
10;2025-05-03T21:52:28;2025-05-03T14:15:50;2025-05-04T10:16:20;scrape;brr kindly;(214) 909-3119 x81765;how puny;worthless since woot
