id;service_type;description;amount;fee_date;phone
1;imaginary solicit;patroller;11146.02;2025-05-03;1-989-474-1447
2;valley;against rear bench;11649.42;2025-05-03;589.803.8510
3;stiff ah slump;helpfully programme kiddingly;15495.15;2025-05-04;543-923-5595 x992
4;coolly;once whereas oof;19777;2025-05-03;501-834-9189 x3883
5;worthwhile never;keenly;27461.62;2025-05-03;(975) 987-5734
6;since gum difficult;qua;23923.76;2025-05-04;1-341-304-6231 x2345
7;cruel;lively;3561.69;2025-05-04;(797) 983-7855 x3199
8;daily duh;boo;1858.62;2025-05-03;806-779-3490 x8930
9;whereas hassle strident;times;7497.92;2025-05-04;(297) 926-6206
10;practical athwart;oh scarcely;1375.18;2025-05-03;(935) 300-1680 x6164
